"","word","RC1","RC3","RC8","RC2","RC4","RC7","RC5","RC6"
"82","point",0.15647840341849,0.217769861893696,0.250192181784721,-0.0492858409946065,0.150889190850293,0.0989688667689331,0.375756526506692,0.208871557425625
"83","explain",0.299725204085409,0.118992913126034,0.251436642550844,0.0551721464622721,0.1216737373648,0.0347377937745936,-0.313994612339105,-0.0312446581779055
"84","start",0.169272101913049,0.0480182659307331,0.0388163593416586,0.0594983589458234,0.240607500787026,0.272981115361482,0.298330654086328,0.0984059061313992
"85","experience",0.0641808435303677,-0.0135291525948801,0.197015152272814,0.171481707290449,-0.0181616354253054,-0.208289632368102,-0.233177862873694,0.0796598390168057
"86","walk",-0.0382504674791046,0.0767054389670944,0.205132502448169,-0.265034631064322,0.215998378730914,0.28259086786386,-0.22710572952,0.531445227711945
"87","nothing",0.193649689824731,0.0673936691897637,0.100348353051138,0.0473625095899006,0.000917885951247871,0.0574019360834438,0.0520576064555953,0.48812453397262
"88","call",0.161151677501572,0.136191563019525,0.271178699861242,0.164541749239377,0.182315834140305,0.146915833373824,0.0390602148480077,-0.459542722041265
"89","happen",0.264887800533021,0.0163798380120492,0.291756405636362,0.104473887478271,-0.0165672591655588,0.230210689467032,0.0500252981712977,0.421915375438576
"90","end",0.215624122726763,0.0809011452569848,0.258287368499433,0.0802599669882735,0.199918714988877,0.180490402756671,0.144403629212952,-0.318564668922152
"91","moment",0.198682013881909,0.192134467575181,0.112125072378708,0.213833806124806,0.173701049351802,0.000945322756108719,0.035438122263121,0.315167139861958
"92","justify",-0.0487447958366904,0.0104600825206105,0.0656336632229586,0.100234084287911,0.0847077997074734,-0.249523800037222,-0.125977722354139,0.26933613641619
